,Predicted
0,132.10542
1,132.3556
2,132.37097
3,132.81737
4,132.67314
5,132.9672
6,132.03833
7,130.59918
8,130.56451
9,131.3896
10,132.78651
11,133.62619
12,134.29576
13,133.33733
14,133.49487
15,133.1754
16,133.60284
17,134.44704
18,133.69403
19,134.45734
20,133.5398
21,132.87181
22,135.0358
23,135.96513
24,136.18442
25,136.09926
26,135.11545
27,135.10504
28,134.91437
29,135.86856
30,135.7887
31,135.46725
32,136.01543
33,136.9557
34,136.06284
35,135.66377
36,135.48143
37,136.76959
38,137.04605
39,136.84302
40,137.2088
41,136.78102
42,137.60631
43,138.65253
44,137.92029
45,137.50325
46,137.56033
47,137.0489
48,136.82518
49,149.06581
50,149.7762
51,150.7689
52,150.14278
53,146.25418
54,143.94041
55,144.1739
56,143.66185
57,143.90166
58,143.81575
59,144.10207
60,143.40742
61,142.09558
62,140.95284
63,141.21808
64,141.3128
65,142.24161
66,141.15909
67,140.01874
68,140.00134
69,139.00902
70,140.51582
71,140.95844
72,142.49222
73,143.41988
74,143.22719
75,143.26552
76,143.45595
77,143.9491
78,144.40784
79,145.32
80,145.74226
81,147.42793
82,146.7826
83,145.9087
84,145.00847
85,145.94063
86,146.73656
87,148.09023
88,146.03444
89,145.68681
90,144.17511
91,144.93962
92,144.85345
93,144.53253
94,143.84926
95,143.94022
96,144.51257
97,144.41138
98,145.18787
99,145.26259
100,145.58917
101,149.82974
102,152.3486
103,152.92815
104,153.91727
105,154.70998
106,154.56917
107,154.77686
108,154.50618
109,154.84044
110,158.57222
111,159.51701
112,153.62914
113,153.44327
114,155.36328
115,156.83711
116,156.3126
117,157.28087
118,157.44981
119,154.844
120,154.4601
121,153.64935
122,151.12604
123,146.42378
124,144.0948
125,145.62685
126,143.07764
127,140.5014
128,144.26549
129,143.4432
130,146.36636
131,148.23016
132,149.19034
133,147.73244
134,148.25664
135,146.70613
136,147.60793
137,150.36916
138,150.30202
139,149.5563
140,147.40886
141,146.57445
142,149.11136
143,148.86147
144,150.1338
145,149.16692
146,151.35762
147,152.73468
148,152.8292
149,151.3184
150,152.4475
151,152.86794
152,150.21925
153,149.00476
154,149.65771
155,146.24176
156,143.51042
157,145.05678
158,146.03284
159,145.67055
160,145.6849
161,143.02373
162,142.51451
163,144.68687
164,147.0043
165,144.09038
166,146.12804
167,148.30731
168,147.76614
169,150.7346
170,149.79828
171,150.92908
172,153.01329
173,142.57101
174,140.78929
175,138.49982
176,138.47577
177,138.9972
178,138.47852
179,139.78648
180,139.46889
181,138.79015
182,137.62965
183,136.31955
184,134.62686
185,136.35034
186,136.68047
187,136.0194
188,137.03127
189,138.5538
190,138.82263
191,139.28015
192,138.20453
193,139.29869
194,139.22417
195,139.02245
196,140.16711
197,140.13335
198,138.96246
199,138.63165
200,138.50034
201,135.95128
202,137.21501
203,136.26823
204,136.80763
205,137.58133
206,138.39201
207,138.99403
208,140.3417
209,140.23413
210,141.58264
211,141.63145
212,141.42241
213,140.45036
214,139.67628
215,138.86919
216,138.42523
217,137.89816
218,136.41205
219,136.07835
220,133.84563
221,133.79317
222,133.23955
223,134.18518
224,135.14378
225,134.33
226,134.90091
227,135.70813
228,137.13312
229,138.75958
230,139.42735
231,139.81386
232,141.01845
233,140.98605
234,139.89758
235,138.57571
236,138.54099
237,143.65448
238,141.7914
239,140.3167
240,141.13939
241,140.80992
242,142.12912
243,140.30754
244,140.16986
245,139.5495
246,138.5962
247,137.63026
248,141.43349
249,140.68068
250,141.77051
251,141.41856
252,141.37634
253,140.61209
254,139.44742
255,139.53911
256,139.31477
257,141.46179
258,141.99158
259,142.72733
260,142.6503
261,141.66684
262,141.42677
263,142.03384
264,143.14691
265,142.73483
266,143.66235
267,142.29146
268,142.47704
269,141.68085
270,142.5217
271,142.63138
272,141.91653
273,142.46094
274,142.59856
275,143.02362
276,144.60437
277,144.634
278,144.40907
279,144.44818
280,145.62082
281,146.92538
282,147.53087
283,146.14659
284,145.38246
285,148.19142
286,147.85342
287,147.284
288,148.94061
289,149.45802
290,149.38667
291,147.51999
292,145.16785
293,144.41985
294,143.5775
295,140.75719
296,137.27649
297,136.63152
298,137.58655
299,140.36763
300,131.22145
301,127.72727
302,126.14875
303,125.85981
304,126.538864
305,125.086845
306,122.88163
307,121.31847
308,117.723045
309,113.909454
310,112.4776
311,113.501236
312,113.19119
313,116.43916
314,119.40659
315,120.58916
316,121.51229
317,121.29121
318,119.71064
319,119.30378
320,118.80602
321,118.91127
322,119.46264
323,119.071335
324,116.25092
325,117.133286
326,115.91418
327,117.673134
328,117.956276
329,120.11331
330,120.36344
331,121.969215
332,123.23005
333,120.7689
334,120.26498
335,118.59714
336,118.55607
337,119.99074
338,120.08803
339,119.022835
340,118.41554
341,115.54061
342,115.72085
343,116.56436
344,112.470924
345,111.2785
346,108.61799
347,108.150856
348,110.550835
349,112.32313
350,112.18363
351,113.489136
352,112.447495
353,115.20118
354,116.435715
355,118.17309
356,118.98688
357,119.44095
358,119.32986
359,118.53778
360,119.67188
361,119.72718
362,119.722664
363,121.93052
364,120.58694
365,130.59238
366,130.14313
367,131.76823
368,131.7587
369,132.46457
370,132.22655
371,132.22044
372,132.18729
373,132.3793
374,133.38243
375,134.20944
