,Predicted
0,58.668037
1,57.53196
2,57.501286
3,56.8259
4,53.88233
5,52.60777
6,53.152252
7,52.794044
8,52.865944
9,52.865242
10,52.925983
11,51.55809
12,51.662262
13,52.032482
14,52.496582
15,52.33546
16,52.077198
17,51.813663
18,51.533176
19,52.15945
20,52.811417
21,52.705444
22,52.793842
23,53.082542
24,52.93813
25,52.586052
26,52.59832
27,52.58998
28,52.473053
29,52.530064
30,52.66646
31,51.053013
32,51.865463
33,51.31412
34,51.18935
35,50.894405
36,51.20116
37,51.396473
38,51.58492
39,50.9036
40,50.77889
41,50.294235
42,49.957027
43,50.105465
44,50.433865
45,51.149063
46,51.47719
47,51.727287
48,52.359905
49,52.93843
50,52.6756
51,53.772415
52,55.779713
53,55.121933
54,54.421124
55,54.25878
56,54.239014
57,54.31517
58,54.65679
59,55.126007
60,54.53311
61,54.745144
62,55.115273
63,55.288456
64,55.075012
65,55.169342
66,55.727306
67,56.253136
68,58.100975
69,58.25319
70,58.334896
71,58.187153
72,58.35916
73,58.68048
74,58.493095
75,59.36131
76,59.606014
77,59.309742
78,59.50721
79,59.41934
80,59.3617
81,59.779022
82,60.36313
83,60.976032
84,61.36976
85,62.68007
86,63.53686
87,63.778633
88,63.81731
89,63.476448
90,62.939472
91,63.30123
92,61.776154
93,62.635784
94,62.11624
95,62.13835
96,61.980255
97,62.3115
98,62.470703
99,62.29159
100,63.045185
101,63.3286
102,62.955784
103,63.02935
104,63.137127
105,63.545532
106,63.038902
107,62.699715
108,63.042
109,65.4314
110,65.1794
111,65.83347
112,66.48962
113,66.50117
114,66.807884
115,66.40738
116,66.26347
117,66.99203
118,66.30987
119,66.04072
120,64.70119
121,63.43139
122,64.945885
123,62.825672
124,63.23964
125,65.12992
126,64.81686
127,65.966934
128,66.76283
129,67.12994
130,66.281654
131,66.25922
132,65.84575
133,66.36004
134,67.81365
135,67.26957
136,66.25026
137,65.38864
138,64.282936
139,64.10463
140,64.19337
141,63.470848
142,64.01711
143,65.16749
144,65.76371
145,65.71556
146,65.23919
147,65.41066
148,65.214386
149,64.830925
150,65.56885
151,65.775444
152,64.32622
153,64.94488
154,64.85198
155,65.63704
156,64.870094
157,65.27387
158,63.371
159,64.95112
160,66.534454
161,68.0405
162,66.85999
163,66.52227
164,65.89691
165,65.850296
166,66.53201
167,66.29386
168,66.321075
169,66.401146
170,65.84193
171,64.62759
172,64.949005
173,65.68132
174,66.00787
175,65.53072
176,66.62134
177,68.24425
178,67.64712
179,66.58367
180,67.0001
181,66.00524
182,66.79295
183,67.728294
184,67.41166
185,66.55798
186,66.67519
187,67.15097
188,67.43556
189,67.85882
190,69.41759
191,69.64833
192,69.61305
193,69.7272
194,70.01285
195,69.78102
196,70.25415
197,70.67204
198,69.459206
199,70.09581
200,70.17102
201,71.05789
202,71.73988
203,72.01787
204,72.72243
205,73.158005
206,72.85542
207,72.785736
208,72.45393
209,72.46599
210,72.762985
211,73.427704
212,73.38765
213,72.29868
214,72.63617
215,72.231636
216,71.95121
217,70.94128
218,71.121544
219,70.43261
220,70.33065
221,76.94614
222,75.45824
223,74.61297
224,74.31688
225,74.36027
226,74.62365
227,75.12924
228,74.96157
229,75.11986
230,74.937225
231,75.23308
232,75.09717
233,74.38647
234,74.50104
235,74.49171
236,74.28258
237,73.75147
238,74.352844
239,75.50483
240,74.87035
241,73.771904
242,74.705315
243,75.11508
244,75.84095
245,75.978004
246,76.44437
247,77.13327
248,77.45958
249,77.970695
250,77.5992
251,77.26386
252,77.20025
253,76.581825
254,77.15522
255,77.0162
256,78.43675
257,78.98067
258,79.193886
259,79.24479
260,78.82605
261,78.94805
262,79.06257
263,79.06183
264,78.36291
265,78.648964
266,77.07511
267,77.06427
268,77.388176
269,77.541245
270,78.664406
271,79.34951
272,79.088615
273,79.664734
274,79.678696
275,79.696594
276,80.73549
277,80.580536
278,81.15249
279,81.2435
280,80.53265
281,80.64966
282,79.62941
283,80.49515
284,80.68833
285,80.710594
286,79.53025
287,79.06146
288,77.58435
289,77.206085
290,77.038284
291,77.757126
292,74.43545
293,73.4669
294,73.88269
295,73.5347
296,74.72839
297,74.51334
298,73.92518
299,72.987564
300,73.082146
301,71.618225
302,71.97877
303,71.57492
304,70.52911
305,71.54593
306,72.376236
307,73.55782
308,74.23985
309,74.61097
310,74.92532
311,74.59699
312,75.31968
313,75.35774
314,74.31938
315,73.71277
316,73.49071
317,73.7881
318,72.17012
319,72.79102
320,71.333565
321,70.06136
322,70.977
323,70.51302
324,71.23158
325,70.57223
326,72.30435
327,72.56293
328,73.26744
329,75.7175
330,74.73488
331,73.05917
332,72.39654
333,70.9224
334,72.30118
335,72.85287
336,71.894035
337,71.46131
338,69.488304
339,70.31494
340,68.98268
341,67.17415
342,71.571556
343,68.5891
344,70.06679
345,71.263336
346,72.112724
347,72.51161
348,72.419754
349,71.34752
350,72.99935
351,73.83301
352,74.827415
353,74.79517
354,74.58656
355,74.28016
356,74.37091
357,75.44194
358,75.64191
359,76.38197
360,77.59509
361,77.83978
362,77.81985
363,77.411705
364,77.88847
365,77.46637
366,77.501076
367,77.86728
368,78.52207
369,78.38915
370,78.60508
371,79.40209
372,79.04007
373,79.00215
374,79.043106
375,79.94904
